submit_date,height,weight,employed
2026-04-20 10:53:03,1.61,49.9,False
2026-04-21 01:44:41,2.0,92.6,True
2026-04-21 04:55:23,1.67,66.4,True
2026-04-21 09:20:26,1.58,41.8,True
2026-04-22 02:07:41,1.75,69.9,True
2026-04-22 03:26:49,1.73,107.5,False
2026-04-22 09:40:12,1.64,48.9,True
2026-04-22 10:11:10,1.79,78.1,True
2026-04-22 12:06:09,1.55,62.2,True
2026-04-23 01:06:19,1.73,76.2,True
2026-04-23 04:24:07,1.65,86.2,False
2026-04-23 04:25:08,1.75,68.0,True
2026-04-23 12:52:40,1.78,64.1,False
2026-04-23 14:36:18,1.51,33.9,True
2026-04-23 14:58:15,1.65,83.7,True
2026-04-23 16:09:36,1.66,75.6,True
2026-04-24 01:01:58,1.58,44.5,True
2026-04-24 08:05:35,1.68,70.0,False
2026-04-24 15:59:28,1.72,86.9,False
2026-04-24 22:17:26,1.69,69.8,True
2026-04-25 03:44:41,1.67,71.0,True
2026-04-25 08:53:15,1.79,67.9,True
2026-04-25 08:55:34,1.71,65.7,False
2026-04-25 14:28:11,1.74,79.6,True
2026-04-25 20:40:24,1.78,59.9,True
2026-04-25 23:17:32,1.8,102.2,True
2026-04-26 07:07:21,1.68,71.6,True
2026-04-26 11:28:17,1.99,134.9,False
2026-04-26 13:42:51,1.58,93.7,True
2026-04-26 14:35:48,1.72,61.1,False
2026-04-26 15:15:46,1.54,53.3,True
2026-04-26 15:23:23,1.73,68.5,True
2026-04-26 19:39:04,1.83,91.8,True
2026-04-26 20:31:49,1.93,94.5,True
2026-04-26 23:33:28,1.61,58.6,False
